epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,139.404,2.97966,5.12099,1.6706,0.00018,0.00641,1e-05,0,2.32836,5.36698,1.45891,0.000465978,0.000465978,0.000465978
2,275.813,2.62599,4.16466,1.40174,0.08193,0.11101,0.02865,0.00637,2.82032,5.18571,1.77796,0.000923654,0.000923654,0.000923654
3,410.622,2.54867,3.94697,1.39053,0.03476,0.09341,0.01564,0.00418,2.39201,5.77412,1.61525,0.00136247,0.00136247,0.00136247
4,548.107,2.39397,3.74549,1.34059,0.45988,0.11772,0.08936,0.03924,2.28085,5.8463,1.45115,0.00134412,0.00134412,0.00134412
5,695.468,2.32594,3.47203,1.26118,0.70506,0.03205,0.00539,0.00111,3.32379,13.4824,1.73172,0.00131582,0.00131582,0.00131582
6,832.217,2.27489,3.33121,1.28034,0.50916,0.08333,0.10034,0.04233,2.55791,3.7798,1.43279,0.00128753,0.00128753,0.00128753
7,970.381,2.22354,3.17598,1.24929,0.78973,0.05128,0.05105,0.01305,2.74008,4.58486,1.56515,0.00125923,0.00125923,0.00125923
8,1106.34,2.21442,3.18503,1.2534,0.07781,0.15578,0.04904,0.02033,2.23148,3.80113,1.42978,0.00123094,0.00123094,0.00123094
9,1242.63,2.21711,3.17624,1.22146,0.00743,0.13105,0.00372,0.00126,2.64657,8.48768,1.56826,0.00120265,0.00120265,0.00120265
10,1378.96,2.17971,3.0576,1.19857,0.11552,0.17226,0.08118,0.03539,2.22839,3.57032,1.41912,0.00117435,0.00117435,0.00117435
11,1514.56,2.19751,3.11046,1.19676,0.12129,0.11447,0.10272,0.04058,2.48186,3.82499,1.42303,0.00114606,0.00114606,0.00114606
12,1650.64,2.19445,2.91312,1.2289,0.32393,0.16941,0.17724,0.0846,1.85326,2.89663,1.26631,0.00111776,0.00111776,0.00111776
13,1785.26,2.13173,2.93969,1.18596,0.15293,0.14011,0.11675,0.04736,2.16583,3.58992,1.37022,0.00108947,0.00108947,0.00108947
14,1918.27,2.13722,2.89654,1.18691,0.15551,0.19017,0.15129,0.07803,1.91161,3.2824,1.30169,0.00106118,0.00106118,0.00106118
15,2056.49,2.11196,2.70121,1.16855,0.24681,0.20115,0.16907,0.0742,2.07145,3.72968,1.33449,0.00103288,0.00103288,0.00103288
16,2197.96,2.06413,2.76023,1.17364,0.25807,0.15018,0.1467,0.05326,2.09516,3.34561,1.3425,0.00100459,0.00100459,0.00100459
17,2334.35,2.17893,2.81106,1.18568,0.69235,0.22267,0.23431,0.10199,2.04993,2.81732,1.35283,0.000976293,0.000976293,0.000976293
18,2473.26,2.04187,2.70347,1.13717,0.25937,0.31553,0.18151,0.08275,1.96839,3.12135,1.31308,0.000947999,0.000947999,0.000947999
19,2614.6,2.05174,2.67462,1.15298,0.5087,0.18173,0.20615,0.06769,2.4459,2.99815,1.49759,0.000919704,0.000919704,0.000919704
20,2753.49,1.90835,2.55856,1.15334,0.23117,0.14594,0.15112,0.06795,2.231,3.04054,1.4411,0.00089141,0.00089141,0.00089141
21,2898.73,2.06091,2.69186,1.16767,0.20897,0.23097,0.16864,0.06592,2.16311,2.81441,1.40071,0.000863116,0.000863116,0.000863116
22,3039.39,1.99158,2.51488,1.14507,0.25024,0.2619,0.25309,0.13516,1.80854,2.46132,1.26296,0.000834822,0.000834822,0.000834822
23,3181.41,1.999,2.58878,1.1239,0.17466,0.40486,0.16746,0.06658,2.09336,4.28956,1.33291,0.000806528,0.000806528,0.000806528
24,3324.26,1.9743,2.48038,1.11738,0.2678,0.26475,0.21663,0.10103,1.91066,2.7155,1.26856,0.000778233,0.000778233,0.000778233
25,3467.34,1.96981,2.51612,1.12873,0.30215,0.17582,0.17979,0.08094,2.26045,3.24412,1.39381,0.000749939,0.000749939,0.000749939
26,3613.26,1.9199,2.47872,1.11789,0.30362,0.32194,0.2705,0.11248,1.89783,2.43773,1.26127,0.000721645,0.000721645,0.000721645
27,3756.36,1.98779,2.4899,1.12004,0.31141,0.27849,0.27342,0.10198,2.01928,2.65763,1.30918,0.000693351,0.000693351,0.000693351
28,3900.75,1.995,2.52164,1.13009,0.18945,0.25855,0.14818,0.06401,2.11947,2.8363,1.34512,0.000665057,0.000665057,0.000665057
