epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.17,3.09548,5.19228,1.6497,0.00092,0.12678,0.00021,8e-05,2.61654,14.1731,1.50133,0.000465978,0.000465978,0.000465978
2,207.502,2.58098,4.07764,1.35164,0.1494,0.07692,0.10789,0.04082,2.43446,4.13638,1.50579,0.000923654,0.000923654,0.000923654
3,307.209,2.49944,3.7454,1.29346,0.13277,0.10897,0.12545,0.05935,2.10082,3.63036,1.29829,0.00136247,0.00136247,0.00136247
4,407.122,2.42338,3.53068,1.26931,0.10347,0.21154,0.09989,0.04197,2.20167,4.40541,1.24259,0.00134412,0.00134412,0.00134412
5,506.958,2.28347,3.28308,1.20849,0.48093,0.18498,0.12799,0.06178,2.24788,3.72586,1.31103,0.00131582,0.00131582,0.00131582
6,604.252,2.26545,3.35293,1.22352,0.19866,0.08242,0.07533,0.02674,2.33318,3.94421,1.37737,0.00128753,0.00128753,0.00128753
7,701.593,2.32532,3.23754,1.25065,0.22653,0.11553,0.10383,0.03451,2.20999,5.46063,1.31569,0.00125923,0.00125923,0.00125923
8,803.107,2.24531,3.14712,1.1838,0.23525,0.2046,0.15175,0.0622,2.07969,3.66143,1.23441,0.00123094,0.00123094,0.00123094
9,906.176,2.21249,3.09806,1.19624,0.60851,0.11905,0.13057,0.05613,2.14723,3.82677,1.20464,0.00120265,0.00120265,0.00120265
10,1009.91,2.18126,2.94281,1.17939,0.23446,0.18264,0.15078,0.07364,2.08024,3.20702,1.24038,0.00117435,0.00117435,0.00117435
11,1111.02,2.14179,2.80119,1.17075,0.18881,0.17125,0.16338,0.08504,2.04877,2.8864,1.253,0.00114606,0.00114606,0.00114606
12,1207.63,2.11898,2.83117,1.16069,0.20823,0.13014,0.13698,0.05396,2.10196,3.17515,1.22672,0.00111776,0.00111776,0.00111776
13,1309.03,2.12338,2.85343,1.14652,0.2121,0.27778,0.1872,0.09626,1.9718,3.21189,1.21049,0.00108947,0.00108947,0.00108947
14,1412.72,2.02513,2.61786,1.12931,0.32962,0.18529,0.18626,0.08723,2.14424,3.49879,1.24425,0.00106118,0.00106118,0.00106118
15,1515.28,2.06053,2.62076,1.12672,0.50375,0.21734,0.25193,0.11927,1.90116,2.85547,1.19402,0.00103288,0.00103288,0.00103288
16,1621.85,1.98584,2.54246,1.12511,0.23331,0.22307,0.19358,0.09138,1.92524,2.77283,1.18863,0.00100459,0.00100459,0.00100459
17,1719.39,1.97018,2.62483,1.1168,0.20856,0.19505,0.20555,0.11964,1.8587,2.54663,1.18707,0.000976293,0.000976293,0.000976293
18,1819.1,1.9577,2.43702,1.10514,0.22945,0.24227,0.20179,0.11136,1.85506,3.13637,1.1781,0.000947999,0.000947999,0.000947999
19,1915.22,1.97587,2.43129,1.10522,0.71094,0.14469,0.1807,0.09725,2.01527,3.17674,1.23027,0.000919704,0.000919704,0.000919704
20,2019.44,1.95683,2.41492,1.08924,0.29739,0.26802,0.20969,0.09658,1.90752,2.95416,1.18403,0.00089141,0.00089141,0.00089141
21,2122.97,1.95887,2.38743,1.10757,0.34529,0.16392,0.20702,0.08874,1.94626,2.7178,1.19256,0.000863116,0.000863116,0.000863116
22,2225.85,1.94637,2.4053,1.08734,0.35753,0.19209,0.23306,0.11108,1.85555,2.80595,1.1495,0.000834822,0.000834822,0.000834822
23,2330.23,1.93385,2.37068,1.06765,0.2709,0.2791,0.24268,0.11877,1.82378,2.75941,1.14167,0.000806528,0.000806528,0.000806528
24,2430.99,1.9591,2.32291,1.08094,0.22475,0.29416,0.22641,0.11741,1.85743,2.78951,1.17736,0.000778233,0.000778233,0.000778233
25,2532.23,2.00352,2.39799,1.09493,0.19148,0.2034,0.14306,0.07241,2.24106,3.10548,1.2558,0.000749939,0.000749939,0.000749939
26,2635.31,1.86467,2.25293,1.07113,0.27533,0.23942,0.20999,0.1127,1.80296,2.49732,1.12772,0.000721645,0.000721645,0.000721645
27,2740.56,1.92209,2.27998,1.06273,0.29579,0.22177,0.21797,0.081,2.05862,2.91178,1.20582,0.000693351,0.000693351,0.000693351
28,2845.57,1.90623,2.39767,1.0896,0.33908,0.35541,0.26543,0.13948,1.82769,2.36605,1.16917,0.000665057,0.000665057,0.000665057
29,2950.44,1.84364,2.29462,1.07715,0.20626,0.21378,0.20351,0.09297,1.89146,2.63712,1.20145,0.000636762,0.000636762,0.000636762
30,3055.85,1.85633,2.30612,1.06693,0.29068,0.24407,0.21556,0.1172,1.71957,3.03571,1.10041,0.000608468,0.000608468,0.000608468
31,3164.47,1.87449,2.19918,1.07191,0.43449,0.19138,0.24644,0.10573,2.06245,2.52601,1.24222,0.000580174,0.000580174,0.000580174
32,3278.29,1.83667,2.12999,1.07033,0.26376,0.36081,0.23923,0.09696,2.04923,2.94136,1.176,0.00055188,0.00055188,0.00055188
33,3386.91,1.82422,2.26538,1.05511,0.30287,0.23118,0.23587,0.12229,1.83673,2.75825,1.0905,0.000523586,0.000523586,0.000523586
34,3496.43,1.79418,2.09361,1.06451,0.27704,0.29294,0.24694,0.13148,1.8181,2.50379,1.15402,0.000495291,0.000495291,0.000495291
35,3606.41,1.80406,2.11158,1.06262,0.32632,0.17172,0.2093,0.08674,2.11276,2.7134,1.26021,0.000466997,0.000466997,0.000466997
36,3714.6,1.83602,2.12018,1.05981,0.32709,0.32713,0.24142,0.12485,1.76661,2.84238,1.12263,0.000438703,0.000438703,0.000438703
37,3823.09,1.80195,2.07274,1.06255,0.36805,0.30423,0.27475,0.14976,1.73435,2.73651,1.11233,0.000410409,0.000410409,0.000410409
38,3931.53,1.71788,1.9484,1.04233,0.31479,0.32497,0.26057,0.14327,1.74689,2.4794,1.12045,0.000382115,0.000382115,0.000382115
39,4045.06,1.72994,2.06985,1.03408,0.34002,0.35206,0.27145,0.15359,1.72807,2.3794,1.10483,0.00035382,0.00035382,0.00035382
40,4156.94,1.77859,2.07813,1.05973,0.32155,0.36719,0.2571,0.13619,1.72009,2.44652,1.10938,0.000325526,0.000325526,0.000325526
41,4266.43,1.70311,2.14557,1.04546,0.30812,0.36172,0.27079,0.15072,1.6339,2.44773,1.08614,0.000297232,0.000297232,0.000297232
42,4375.79,1.64893,1.96507,1.04248,0.27387,0.33639,0.25046,0.14987,1.64157,2.64528,1.0925,0.000268938,0.000268938,0.000268938
43,4484.1,1.68603,2.01611,1.03501,0.28279,0.29579,0.24521,0.11428,1.88118,2.72934,1.16255,0.000240644,0.000240644,0.000240644
44,4593.16,1.71863,1.96888,1.04795,0.38553,0.24685,0.26911,0.13951,1.80165,2.35748,1.13184,0.000212349,0.000212349,0.000212349
45,4704.67,1.69809,1.93802,1.04016,0.42829,0.27707,0.27615,0.1522,1.72562,2.33501,1.11422,0.000184055,0.000184055,0.000184055
46,4811.33,1.66578,1.91131,1.02599,0.3957,0.2829,0.2807,0.15706,1.67443,2.45932,1.09004,0.000155761,0.000155761,0.000155761
47,4916.65,1.64978,1.87017,1.02519,0.34869,0.39088,0.283,0.1376,1.76197,2.46752,1.10735,0.000127467,0.000127467,0.000127467
48,5022.32,1.64132,1.97817,1.01852,0.29961,0.36172,0.28616,0.14132,1.75714,2.41986,1.10522,9.91726e-05,9.91726e-05,9.91726e-05
49,5125.74,1.56167,1.82375,0.99724,0.32059,0.35541,0.28526,0.14939,1.73879,2.39573,1.10053,7.08784e-05,7.08784e-05,7.08784e-05
50,5229.39,1.58261,1.77306,0.99811,0.32872,0.31616,0.2767,0.14493,1.76352,2.44468,1.10953,4.25842e-05,4.25842e-05,4.25842e-05
