epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.184,3.04498,5.00657,1.66651,0.00107,0.12464,0.00037,0.00013,2.44366,11.4293,1.6,0.000465978,0.000465978,0.000465978
2,196.792,2.67765,4.15425,1.40156,0.20798,0.03192,0.08016,0.02482,2.38958,4.27227,1.4035,0.000923654,0.000923654,0.000923654
3,294.586,2.4353,3.75628,1.28698,0.5169,0.10897,0.12723,0.05751,2.18325,3.65549,1.31919,0.00136247,0.00136247,0.00136247
4,396.973,2.46096,3.68944,1.28441,0.4702,0.11823,0.11169,0.04579,2.17268,4.41719,1.28379,0.00134412,0.00134412,0.00134412
5,499.252,2.26591,3.32775,1.24721,0.42024,0.16209,0.07167,0.02373,2.29931,4.68177,1.31999,0.00131582,0.00131582,0.00131582
6,597.908,2.25235,3.21751,1.21262,0.17037,0.15293,0.12645,0.06816,1.93432,3.69364,1.30712,0.00128753,0.00128753,0.00128753
7,694.795,2.25202,3.18149,1.20731,0.13624,0.12363,0.07133,0.02032,2.36018,4.42289,1.36079,0.00125923,0.00125923,0.00125923
8,792.08,2.13859,3.03956,1.18281,0.42889,0.10256,0.05991,0.02661,2.38212,5.5911,1.40158,0.00123094,0.00123094,0.00123094
9,888.918,2.15363,2.99486,1.18954,0.2379,0.22019,0.1603,0.05651,2.16424,3.20138,1.32415,0.00120265,0.00120265,0.00120265
10,987.594,2.2075,2.8892,1.17768,0.123,0.06136,0.04588,0.00833,2.65113,8.99641,1.46791,0.00117435,0.00117435,0.00117435
11,1083.57,2.0621,2.81575,1.14887,0.49948,0.21978,0.18713,0.06037,2.24898,3.16998,1.34485,0.00114606,0.00114606,0.00114606
12,1179.59,2.14777,2.86254,1.1707,0.23018,0.26455,0.20064,0.09452,2.02482,2.74091,1.23906,0.00111776,0.00111776,0.00111776
13,1275.69,2.05334,2.73721,1.13926,0.24257,0.31746,0.2034,0.07753,2.04785,3.46271,1.24814,0.00108947,0.00108947,0.00108947
14,1374.69,2.08558,2.68298,1.13676,0.31566,0.31543,0.2197,0.09585,2.03853,3.76849,1.23791,0.00106118,0.00106118,0.00106118
15,1472.16,2.0774,2.52498,1.12641,0.3354,0.30788,0.22028,0.07037,2.21559,3.88673,1.3065,0.00103288,0.00103288,0.00103288
16,1569.86,1.98275,2.66433,1.12554,0.56866,0.16941,0.18232,0.08076,2.21326,4.1959,1.23783,0.00100459,0.00100459,0.00100459
17,1666.91,2.04612,2.64533,1.12286,0.24085,0.14377,0.17635,0.07775,1.96605,3.00011,1.16668,0.000976293,0.000976293,0.000976293
18,1765.02,1.95723,2.48757,1.10648,0.30541,0.27615,0.18023,0.08677,1.94226,6.59744,1.16529,0.000947999,0.000947999,0.000947999
19,1863.31,2.02488,2.56433,1.11371,0.25591,0.2383,0.20042,0.08581,1.90299,2.6729,1.1721,0.000919704,0.000919704,0.000919704
20,1961.45,1.99788,2.45334,1.1145,0.25961,0.23189,0.21785,0.10531,1.95611,2.69097,1.16286,0.00089141,0.00089141,0.00089141
21,2058.01,1.98324,2.45769,1.09247,0.2461,0.26231,0.20901,0.09742,1.97182,2.66005,1.14142,0.000863116,0.000863116,0.000863116
22,2155.23,1.93146,2.35966,1.08648,0.27129,0.24997,0.23727,0.10983,2.00278,2.79351,1.25772,0.000834822,0.000834822,0.000834822
23,2252.33,1.94499,2.42022,1.09746,0.37793,0.20052,0.23102,0.11753,2.02074,2.77247,1.23547,0.000806528,0.000806528,0.000806528
24,2350.3,1.91791,2.2943,1.08531,0.27876,0.17757,0.1937,0.07856,2.10016,2.85085,1.2366,0.000778233,0.000778233,0.000778233
25,2447.75,1.90589,2.37878,1.07003,0.31304,0.2754,0.21691,0.10843,1.98773,2.82198,1.1874,0.000749939,0.000749939,0.000749939
26,2545.33,1.93672,2.3131,1.09255,0.25682,0.27843,0.24467,0.11922,1.84859,2.48256,1.15988,0.000721645,0.000721645,0.000721645
27,2642.99,1.87968,2.18686,1.05585,0.26995,0.35669,0.23512,0.0971,1.91389,2.78155,1.16549,0.000693351,0.000693351,0.000693351
28,2742.09,1.83965,2.15181,1.0531,0.23405,0.3138,0.25795,0.14064,1.76667,2.37034,1.13758,0.000665057,0.000665057,0.000665057
29,2840.66,1.84901,2.21021,1.07631,0.28815,0.25661,0.2317,0.12432,1.86289,2.50149,1.16922,0.000636762,0.000636762,0.000636762
30,2939.34,1.81199,2.11183,1.06386,0.35037,0.34316,0.2667,0.12553,1.88585,2.67328,1.17938,0.000608468,0.000608468,0.000608468
31,3037.87,1.89688,2.19309,1.06816,0.31272,0.20075,0.20673,0.09451,1.98632,3.34187,1.18541,0.000580174,0.000580174,0.000580174
32,3137.16,1.89853,2.25181,1.08339,0.36803,0.27584,0.28294,0.161,1.66335,2.44368,1.1205,0.00055188,0.00055188,0.00055188
33,3234.83,1.81615,2.1481,1.06988,0.37793,0.23738,0.25457,0.12568,1.87326,2.39446,1.17989,0.000523586,0.000523586,0.000523586
34,3334.49,1.82036,2.24752,1.04514,0.39929,0.29477,0.25456,0.1261,1.86356,2.46609,1.17595,0.000495291,0.000495291,0.000495291
35,3431.82,1.89416,2.21571,1.07725,0.43426,0.21892,0.24891,0.13522,1.79939,2.56907,1.14676,0.000466997,0.000466997,0.000466997
36,3529.99,1.82563,2.10394,1.06566,0.36981,0.30372,0.25601,0.12525,1.81422,2.53219,1.1433,0.000438703,0.000438703,0.000438703
37,3628.92,1.84206,2.06244,1.06025,0.38324,0.32865,0.27618,0.13079,1.77524,2.57896,1.13327,0.000410409,0.000410409,0.000410409
