epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.048,3.14706,5.12912,1.6529,0.00112,0.09259,0.00323,0.00048,2.64463,5.44192,1.46468,0.000465978,0.000465978,0.000465978
2,224.043,2.6079,4.31471,1.34027,0.67039,0.03846,0.00305,0.00137,2.46864,4.99644,1.42269,0.000923654,0.000923654,0.000923654
3,334.437,2.42208,3.6599,1.27492,0.50289,0.15842,0.11683,0.04372,2.22262,4.81813,1.37603,0.00136247,0.00136247,0.00136247
4,440.876,2.37971,3.55502,1.2646,0.22524,0.14845,0.11168,0.04246,2.31071,4.41472,1.41115,0.00134412,0.00134412,0.00134412
5,546.722,2.35128,3.40983,1.21892,0.60225,0.11264,0.11648,0.04019,2.22091,4.72184,1.28139,0.00131582,0.00131582,0.00131582
6,655.18,2.25967,3.23295,1.18854,0.07474,0.07509,0.02609,0.01054,2.60829,8.00796,1.63839,0.00128753,0.00128753,0.00128753
7,760.195,2.21789,3.27076,1.18901,0.21347,0.18,0.132,0.05768,2.13768,3.75911,1.2573,0.00125923,0.00125923,0.00125923
8,866.097,2.19251,3.17671,1.1563,0.09474,0.19963,0.08992,0.03556,2.37804,3.98338,1.33395,0.00123094,0.00123094,0.00123094
9,971.438,2.12327,2.94517,1.15156,0.22282,0.1456,0.13171,0.05829,2.38084,3.43346,1.37599,0.00120265,0.00120265,0.00120265
10,1077.51,2.17656,2.9212,1.16201,0.33841,0.14743,0.11898,0.05053,2.26782,4.11138,1.27985,0.00117435,0.00117435,0.00117435
11,1181.82,2.13149,2.80667,1.14228,0.26793,0.17255,0.1924,0.09883,2.01275,2.99593,1.23672,0.00114606,0.00114606,0.00114606
12,1286.41,2.06683,2.76511,1.13876,0.32078,0.16305,0.1515,0.05285,2.28632,3.31487,1.32061,0.00111776,0.00111776,0.00111776
13,1393.33,2.11671,2.88541,1.12957,0.50435,0.18407,0.17372,0.07785,2.13872,2.95974,1.26999,0.00108947,0.00108947,0.00108947
14,1501.88,2.04573,2.76525,1.10894,0.22207,0.23555,0.18355,0.08066,2.16286,2.99445,1.22548,0.00106118,0.00106118,0.00106118
