epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.151,3.06701,5.25872,1.66694,0.00048,0.05769,0.00032,9e-05,2.58273,5.67849,1.60142,0.000465978,0.000465978,0.000465978
2,220.092,2.60608,4.4816,1.31937,0.82175,0.08974,0.09651,0.03499,2.47006,4.75492,1.36034,0.000923654,0.000923654,0.000923654
3,329.757,2.54822,4.06338,1.28166,0.44143,0.09042,0.05727,0.0141,2.48941,6.99174,1.42066,0.00136247,0.00136247,0.00136247
4,435.732,2.37964,3.75201,1.28447,0.04983,0.08974,0.03941,0.01732,2.61865,5.01018,1.60517,0.00134412,0.00134412,0.00134412
5,542.94,2.33945,3.45615,1.21567,0.83409,0.12179,0.14788,0.05635,2.27878,4.57984,1.44564,0.00131582,0.00131582,0.00131582
6,656.573,2.28364,3.34414,1.20309,0.85232,0.16026,0.19865,0.09162,2.1451,4.83886,1.29248,0.00128753,0.00128753,0.00128753
7,765.908,2.21464,3.13628,1.20508,0.84193,0.07692,0.0971,0.03138,2.59181,5.53376,1.41838,0.00125923,0.00125923,0.00125923
8,874.51,2.22557,3.09062,1.19564,0.16498,0.27656,0.13676,0.04773,2.2958,4.52705,1.29503,0.00123094,0.00123094,0.00123094
9,983.068,2.237,3.08571,1.1877,0.22036,0.19902,0.18903,0.09692,2.10981,3.11328,1.23594,0.00120265,0.00120265,0.00120265
10,1090.99,2.20056,2.97145,1.16047,0.14336,0.31064,0.15173,0.06225,2.08587,2.9658,1.22392,0.00117435,0.00117435,0.00117435
11,1201.2,2.17018,2.96999,1.15491,0.17088,0.12088,0.10901,0.04703,2.26821,3.28182,1.2956,0.00114606,0.00114606,0.00114606
12,1312.66,2.16404,2.90526,1.17348,0.53989,0.18407,0.20367,0.09264,1.90699,3.15303,1.1741,0.00111776,0.00111776,0.00111776
13,1422.27,2.14117,2.8341,1.15346,0.18226,0.17318,0.14152,0.05908,2.21472,3.24548,1.29215,0.00108947,0.00108947,0.00108947
14,1532.15,2.09357,2.8133,1.12725,0.2313,0.15859,0.11828,0.04445,2.34065,3.99868,1.30774,0.00106118,0.00106118,0.00106118
15,1640.96,2.06067,2.6714,1.11804,0.26588,0.20075,0.20611,0.09312,2.02542,3.02506,1.18663,0.00103288,0.00103288,0.00103288
16,1753.59,2.02599,2.65892,1.11364,0.35467,0.23443,0.2403,0.10562,1.96818,2.61041,1.20414,0.00100459,0.00100459,0.00100459
17,1865.05,2.07633,2.78631,1.11715,0.71298,0.21337,0.25359,0.11554,1.94479,2.66782,1.20785,0.000976293,0.000976293,0.000976293
18,1976.72,2.00248,2.62572,1.08687,0.21744,0.29589,0.21403,0.0882,2.05493,3.04817,1.18378,0.000947999,0.000947999,0.000947999
19,2087.99,1.99476,2.58208,1.10007,0.92694,0.16337,0.21679,0.08648,1.94203,2.80778,1.19889,0.000919704,0.000919704,0.000919704
