epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,142.329,3.01226,5.31485,1.55591,0,0,0,0,2.70087,5.53085,1.3731,0.000465978,0.000465978,0.000465978
2,280.555,2.58469,4.25225,1.31657,0.43622,0.04487,0.04638,0.01649,2.53994,5.01796,1.4429,0.000923654,0.000923654,0.000923654
3,421.359,2.55829,3.85634,1.31885,0.4547,0.10806,0.08328,0.02549,2.35477,4.94101,1.36866,0.00136247,0.00136247,0.00136247
4,569.043,2.50115,3.64521,1.30451,0.49104,0.03755,0.02165,0.01143,3.29661,135.067,2.48375,0.00134412,0.00134412,0.00134412
5,703.245,2.33082,3.43337,1.2224,0.10517,0.08059,0.04044,0.01714,2.69325,4.70597,1.47073,0.00131582,0.00131582,0.00131582
6,845.846,2.30259,3.43955,1.23038,0.8162,0.04487,0.05439,0.01982,2.87365,8.21524,1.65812,0.00128753,0.00128753,0.00128753
7,981.764,2.39518,3.35319,1.2681,0.81131,0.10897,0.12727,0.0332,2.49404,7.94343,1.52532,0.00125923,0.00125923,0.00125923
8,1112.87,2.25506,3.23484,1.20703,0.43733,0.0641,0.05011,0.01314,2.66912,5.3567,1.34108,0.00123094,0.00123094,0.00123094
9,1246.23,2.23786,3.10302,1.211,0.10327,0.09799,0.04932,0.01307,2.47426,4.37089,1.36508,0.00120265,0.00120265,0.00120265
10,1378.54,2.19622,3.08204,1.18681,0.20178,0.20197,0.13051,0.05544,2.13079,3.72885,1.36264,0.00117435,0.00117435,0.00117435
11,1509.22,2.17475,2.93706,1.16229,0.18595,0.17409,0.13831,0.05644,2.25069,3.31839,1.34738,0.00114606,0.00114606,0.00114606
12,1641.15,2.17463,2.9298,1.18368,0.11179,0.07051,0.0443,0.01954,2.5759,4.39635,1.52132,0.00111776,0.00111776,0.00111776
13,1773.43,2.19406,2.94646,1.16642,0.13433,0.1164,0.04966,0.01996,2.47863,4.04686,1.31703,0.00108947,0.00108947,0.00108947
14,1908.93,2.07943,2.75798,1.14083,0.16833,0.31431,0.22308,0.10122,2.02726,2.61611,1.26923,0.00106118,0.00106118,0.00106118
15,2042.78,2.12262,2.79522,1.13923,0.18967,0.3489,0.19383,0.09882,1.9058,3.60151,1.2444,0.00103288,0.00103288,0.00103288
16,2177,2.05065,2.68371,1.14834,0.27308,0.33689,0.262,0.13246,1.84457,2.68221,1.22112,0.00100459,0.00100459,0.00100459
17,2309.38,1.99825,2.73061,1.12542,0.22199,0.2381,0.20705,0.09382,1.84933,2.64546,1.17365,0.000976293,0.000976293,0.000976293
