epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,135.867,3.03464,5.05252,1.61961,0,0,0,0,2.3368,5.08309,1.26096,0.000465978,0.000465978,0.000465978
2,269.404,2.66485,4.26874,1.38338,0.00065,0.08171,0.0145,0.00304,2.72139,5.45179,1.62398,0.000923654,0.000923654,0.000923654
3,407.199,2.44644,3.67364,1.33968,0.17231,0.11264,0.10228,0.03257,2.47674,7.6149,1.52807,0.00136247,0.00136247,0.00136247
4,542.013,2.38852,3.48917,1.30375,0.03786,0.14835,0.02531,0.01007,2.43368,13.1233,1.55926,0.00134412,0.00134412,0.00134412
5,684.21,2.43621,3.46851,1.27327,0.17195,0.0641,0.06439,0.01903,2.76903,9.09349,1.60455,0.00131582,0.00131582,0.00131582
6,813.54,2.29564,3.24831,1.24065,0.52331,0.15476,0.11081,0.03725,2.35756,4.50597,1.38214,0.00128753,0.00128753,0.00128753
7,946.222,2.31319,3.28512,1.24536,0.4633,0.05413,0.04193,0.00911,3.09135,7.05884,1.75321,0.00125923,0.00125923,0.00125923
8,1080.43,2.2844,3.22381,1.20834,0.15689,0.16392,0.11249,0.03957,2.42083,4.13369,1.38762,0.00123094,0.00123094,0.00123094
9,1214.18,2.23779,3.09008,1.21875,0.16963,0.21815,0.13685,0.05056,2.25289,3.94382,1.36378,0.00120265,0.00120265,0.00120265
10,1343.6,2.26734,3.02199,1.22026,0.56494,0.10185,0.11401,0.05246,2.21405,4.03281,1.38484,0.00117435,0.00117435,0.00117435
11,1473.28,2.1856,2.96404,1.18506,0.15183,0.24164,0.16137,0.07611,2.2328,3.12713,1.36229,0.00114606,0.00114606,0.00114606
12,1605.92,2.15773,2.85015,1.19122,0.1917,0.19278,0.14779,0.05227,2.1961,3.39483,1.30049,0.00111776,0.00111776,0.00111776
13,1738.81,2.13794,2.88788,1.16889,0.56931,0.19597,0.18242,0.0735,2.18282,2.96187,1.34235,0.00108947,0.00108947,0.00108947
14,1872.14,2.0827,2.81759,1.15503,0.33159,0.3025,0.23551,0.10777,1.91039,2.93422,1.24762,0.00106118,0.00106118,0.00106118
15,2003.91,2.15152,2.74588,1.1746,0.28077,0.23087,0.21508,0.08281,1.99291,3.52686,1.22868,0.00103288,0.00103288,0.00103288
16,2132.98,2.00859,2.61646,1.15484,0.26651,0.18632,0.17882,0.08736,2.10488,3.00676,1.25941,0.00100459,0.00100459,0.00100459
17,2263.46,2.07861,2.68541,1.17795,0.3396,0.2502,0.19603,0.08991,2.1586,3.35358,1.27102,0.000976293,0.000976293,0.000976293
18,2395.71,2.0836,2.69109,1.15901,0.27313,0.23972,0.2295,0.10583,1.92646,2.82784,1.2076,0.000947999,0.000947999,0.000947999
19,2528.72,2.04114,2.66138,1.12919,0.14956,0.11355,0.08631,0.02802,2.51177,3.75717,1.38488,0.000919704,0.000919704,0.000919704
20,2661.69,1.95477,2.42954,1.11308,0.28751,0.28307,0.21545,0.10262,1.95456,3.55646,1.2727,0.00089141,0.00089141,0.00089141
21,2795.46,2.02501,2.53246,1.13556,0.31084,0.23168,0.23525,0.09525,1.97201,2.6594,1.25019,0.000863116,0.000863116,0.000863116
22,2928.56,1.96372,2.543,1.12413,0.68722,0.17779,0.2275,0.07049,2.18602,3.05062,1.28977,0.000834822,0.000834822,0.000834822
23,3062.01,1.88894,2.39551,1.09087,0.24693,0.18498,0.19341,0.06984,2.18185,3.1879,1.28893,0.000806528,0.000806528,0.000806528
24,3195.42,1.9986,2.36867,1.10916,0.24238,0.24001,0.23368,0.1151,1.96104,2.41665,1.2349,0.000778233,0.000778233,0.000778233
25,3327.79,2.0272,2.5747,1.10566,0.3823,0.22171,0.2385,0.09592,1.93309,2.49932,1.22363,0.000749939,0.000749939,0.000749939
26,3461.12,1.95597,2.39201,1.12397,0.20541,0.2732,0.22452,0.11206,1.8481,2.47835,1.23441,0.000721645,0.000721645,0.000721645
27,3597.67,1.9582,2.40751,1.11377,0.37942,0.3023,0.2589,0.12832,1.8042,2.74901,1.18474,0.000693351,0.000693351,0.000693351
28,3733.76,1.90218,2.32543,1.09105,0.26356,0.30098,0.2327,0.11335,1.92177,2.47726,1.22472,0.000665057,0.000665057,0.000665057
29,3869.52,1.83629,2.31871,1.08892,0.18885,0.2383,0.18796,0.09232,1.92559,2.56925,1.20698,0.000636762,0.000636762,0.000636762
